id;timestamp;modification_date;no;no_2;name;unit_price;net_weight;hs_no;hs_description;hs_comment;is_blocked;item_category_code;product_group_code;ws_category_3_code;is_gtin;is_only_spareparts;is_used_for_webshop;application_kind;strap_type;seal_type;drive_type;strap_tension_max;strap_width;strappings_per_day;akku_type;akku_brand;akku_capacitiy;akku_voltage;seal_fixity;speed;motors;strap_thickness_min;strap_thickness_max;is_in_product_finder;is_fully_automatic_tension;is_welding_by_button
1;2019-10-08T16:37:44;2019-10-08T21:43:00;Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;46676;4645;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;Nakfa;false;Rubber Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte;false;false;true;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;58675;Specialist Home Loan Account;27599;scalable;Small;98688;42340;77224;39488;19871;29348;552;false;true;false
2;2019-10-08T14:20:56;2019-10-08T14:14:29;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;37081;31098;moratorium pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;false;Poland;Small partnerships;Outdoors;true;false;false;Buckinghamshire Corporate;Investment Account;override User-centric;Money Market Account;69478;JSON;62435;modular Refined Squares;maroon;89255;88328;53934;32434;80744;12208;89609;false;false;true
3;2019-10-09T04:40:19;2019-10-09T00:46:56;withdrawal;copying;ability Hat Iraq;48482;22210;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;true;Functionality;Moroccan Dirham;capability zero tolerance Computers;true;true;true;Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;8085;24/7 Re-contextualized cross-platform;47030;Orchestrator deliver;Licensed hacking installation;18651;69581;4077;85835;59089;32595;67756;false;false;true
4;2019-10-08T19:01:24;2019-10-08T11:53:08;turn-key;Sausages;disintermediate Cambridgeshire hacking;67569;34106;Concrete Global SMS;Profound;parsing;true;Equatorial Guinea Vision-oriented;Agent;Human deposit;false;false;false;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools;Branding;97366;clear-thinking;30536;Buckinghamshire Ports;Devolved driver Networked;32539;17882;74649;36646;64963;74417;84922;true;true;false
5;2019-10-08T17:40:27;2019-10-08T18:17:33;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;43439;79481;Borders North Dakota;CSS Re-contextualized;local Shoes;true;Chips;Villages uniform PCI;Automotive Tactics architectures;true;true;true;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;35864;Open-architected;29529;portal calculating Metal;real-time discrete redundant;81011;25620;86707;61151;91324;8159;51134;false;true;true
6;2019-10-08T12:09:16;2019-10-09T02:39:03;Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;67202;3594;Dale;Specialist generating;Computers Small Fresh Gloves back-end;false;South Georgia and the South Sandwich Islands;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;true;false;true;Buckinghamshire alliance redundant;content;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;44235;Optimized;9387;Tuna Response invoice;alarm Jamaica;61172;73003;41960;4771;24773;56603;35597;false;true;false
7;2019-10-09T06:58:04;2019-10-08T23:06:30;Small;Incredible Fresh Chips;Shoes Music connect;80691;47347;Shoes systems;Generic Frozen Tuna HTTP;implement;true;Borders EXE payment;Checking Account;invoice Outdoors New York;true;true;true;incubate deposit Station;parsing Investment Account;Branding Dynamic black;yellow;37725;Ergonomic Rubber Chicken;33655;withdrawal;quantifying Garden;81446;26069;28185;49603;11816;69289;69673;false;true;true
8;2019-10-08T10:15:15;2019-10-09T06:22:22;schemas Specialist China;quantify multi-byte;interface Cotton Robust;58054;34080;Infrastructure SSL bandwidth;application Configurable iterate;Berkshire navigating;false;Direct;Small Frozen Salad bypassing;time-frame Quality;true;false;true;deposit Common;Money Market Account;Danish Krone parse;neural Wooden Optimization;97424;Designer;5587;circuit Guam;Frozen Metal program;61821;86686;10112;83848;8410;42609;70096;false;false;false
9;2019-10-08T11:35:20;2019-10-08T09:54:29;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;35021;37625;Sleek navigate Oklahoma;Triple-buffered array;Bedfordshire Tools;false;Handmade Wooden Cheese Fresh;input Naira;Markets;false;false;false;EXE;web services;Industrial Designer Incredible Fresh Car;Principal Senior;25299;Yemeni Rial Sleek;16621;magenta heuristic;Credit Card Account Maryland Legacy;4544;91525;28096;95870;95041;5786;89026;false;false;false
10;2019-10-08T16:25:49;2019-10-08T23:15:27;Mouse;Junctions one-to-one;analyzing holistic;25994;98621;Kwanza Falkland Islands (Malvinas);schemas;Pound Sterling Keyboard;true;parsing;models New Mexico District;Accountability;true;true;false;Grocery;transmit Ways;Shirt Credit Card Account disintermediate;transmitting Tennessee Practical Steel Shirt;13385;Movies;7535;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;84964;37785;24734;24108;45054;20504;12915;false;true;false
